scope,model_family,model,sku_id,description,observations,mae,rmse,wmape
sku,statistical,naive_lag_1,10135,COLOURING PENCILS BROWN TUBE,28,9.4643,14.7999,1.5407
sku,statistical,seasonal_naive_lag_7,10135,COLOURING PENCILS BROWN TUBE,28,9.7500,14.4507,1.5872
sku,statistical,weekday_seasonal_mean,10135,COLOURING PENCILS BROWN TUBE,28,7.0225,10.0186,1.1432
sku,machine_learning,xgboost,10135,COLOURING PENCILS BROWN TUBE,28,14.6450,18.8385,2.3841
sku,deep_learning,gru,11001,ASSTD DESIGN RACING CAR PEN,28,3.8526,6.6922,1.0787
sku,machine_learning,lightgbm,11001,ASSTD DESIGN RACING CAR PEN,28,6.5303,8.4751,1.8285
sku,deep_learning,lstm,11001,ASSTD DESIGN RACING CAR PEN,28,3.8633,6.7279,1.0817
sku,statistical,moving_average_7,11001,ASSTD DESIGN RACING CAR PEN,28,5.6327,7.0296,1.5771
sku,statistical,naive_lag_1,11001,ASSTD DESIGN RACING CAR PEN,28,3.9286,7.0508,1.1000
sku,statistical,seasonal_naive_lag_7,11001,ASSTD DESIGN RACING CAR PEN,28,5.6071,9.6344,1.5700
sku,statistical,weekday_seasonal_mean,11001,ASSTD DESIGN RACING CAR PEN,28,5.5273,7.0954,1.5476
sku,machine_learning,xgboost,11001,ASSTD DESIGN RACING CAR PEN,28,10.2943,14.2867,2.8824
sku,deep_learning,gru,15034,PAPER POCKET TRAVELING FAN,28,6.4678,12.5638,1.1179
sku,machine_learning,lightgbm,15034,PAPER POCKET TRAVELING FAN,28,16.0723,19.0776,2.7779
sku,deep_learning,lstm,15034,PAPER POCKET TRAVELING FAN,28,6.3001,12.7967,1.0889
sku,statistical,moving_average_7,15034,PAPER POCKET TRAVELING FAN,28,8.4133,12.8250,1.4541
sku,statistical,naive_lag_1,15034,PAPER POCKET TRAVELING FAN,28,9.5357,16.6057,1.6481
sku,statistical,seasonal_naive_lag_7,15034,PAPER POCKET TRAVELING FAN,28,9.5000,17.0524,1.6420
sku,statistical,weekday_seasonal_mean,15034,PAPER POCKET TRAVELING FAN,28,12.9356,18.2024,2.2358
sku,machine_learning,xgboost,15034,PAPER POCKET TRAVELING FAN,28,21.4036,25.8772,3.6994
sku,deep_learning,gru,15036,ASSORTED COLOURS SILK FAN,28,19.1898,33.1616,1.0293
sku,machine_learning,lightgbm,15036,ASSORTED COLOURS SILK FAN,28,25.0791,31.9062,1.3452
sku,deep_learning,lstm,15036,ASSORTED COLOURS SILK FAN,28,18.8422,33.8619,1.0107
sku,statistical,moving_average_7,15036,ASSORTED COLOURS SILK FAN,28,25.7245,32.8146,1.3799
sku,statistical,naive_lag_1,15036,ASSORTED COLOURS SILK FAN,28,27.6786,40.2514,1.4847
sku,statistical,seasonal_naive_lag_7,15036,ASSORTED COLOURS SILK FAN,28,25.7500,42.2150,1.3812
sku,statistical,weekday_seasonal_mean,15036,ASSORTED COLOURS SILK FAN,28,44.6844,56.8119,2.3969
sku,machine_learning,xgboost,15036,ASSORTED COLOURS SILK FAN,28,27.7685,34.5623,1.4895
sku,deep_learning,gru,15039,SANDALWOOD FAN,28,5.7336,13.8480,1.0357
sku,machine_learning,lightgbm,15039,SANDALWOOD FAN,28,10.2232,13.5700,1.8468
sku,deep_learning,lstm,15039,SANDALWOOD FAN,28,5.7246,13.8734,1.0341
sku,statistical,moving_average_7,15039,SANDALWOOD FAN,28,11.1684,16.0365,2.0175
sku,statistical,naive_lag_1,15039,SANDALWOOD FAN,28,11.4643,24.5335,2.0710
sku,statistical,seasonal_naive_lag_7,15039,SANDALWOOD FAN,28,11.7143,24.5299,2.1161
sku,statistical,weekday_seasonal_mean,15039,SANDALWOOD FAN,28,8.1197,13.8346,1.4668
sku,machine_learning,xgboost,15039,SANDALWOOD FAN,28,14.2553,18.0583,2.5751
sku,deep_learning,gru,15044A,PINK PAPER PARASOL,28,1.4357,3.6208,1.1823
sku,machine_learning,lightgbm,15044A,PINK PAPER PARASOL,28,7.9978,10.5852,6.5865
sku,deep_learning,lstm,15044A,PINK PAPER PARASOL,28,1.4074,3.6286,1.1590
sku,statistical,moving_average_7,15044A,PINK PAPER PARASOL,28,1.9796,3.8092,1.6303
sku,statistical,naive_lag_1,15044A,PINK PAPER PARASOL,28,2.3571,5.2304,1.9412
sku,statistical,seasonal_naive_lag_7,15044A,PINK PAPER PARASOL,28,2.2857,5.1686,1.8824
sku,statistical,weekday_seasonal_mean,15044A,PINK PAPER PARASOL,28,7.1741,14.4542,5.9081
sku,machine_learning,xgboost,15044A,PINK PAPER PARASOL,28,7.7251,25.2084,6.3618
sku,deep_learning,gru,15044B,BLUE PAPER PARASOL,28,0.0875,0.0875,0.0000
sku,machine_learning,lightgbm,15044B,BLUE PAPER PARASOL,28,0.3098,0.3232,0.0000
sku,deep_learning,lstm,15044B,BLUE PAPER PARASOL,28,0.0757,0.0757,0.0000
sku,statistical,moving_average_7,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,statistical,naive_lag_1,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,statistical,seasonal_naive_lag_7,15044B,BLUE PAPER PARASOL,28,0.0000,0.0000,0.0000
sku,statistical,weekday_seasonal_mean,15044B,BLUE PAPER PARASOL,28,2.3439,2.9902,0.0000
sku,machine_learning,xgboost,15044B,BLUE PAPER PARASOL,28,0.4135,0.4198,0.0000
sku,deep_learning,gru,15044C,PURPLE PAPER PARASOL,28,0.7460,1.3997,1.3055
sku,machine_learning,lightgbm,15044C,PURPLE PAPER PARASOL,28,7.5306,9.0592,13.1785
sku,deep_learning,lstm,15044C,PURPLE PAPER PARASOL,28,0.7183,1.4055,1.2570
sku,statistical,moving_average_7,15044C,PURPLE PAPER PARASOL,28,0.9745,1.4711,1.7054
sku,statistical,naive_lag_1,15044C,PURPLE PAPER PARASOL,28,1.0714,2.0529,1.8750
sku,statistical,seasonal_naive_lag_7,15044C,PURPLE PAPER PARASOL,28,1.1429,2.0874,2.0000
sku,statistical,weekday_seasonal_mean,15044C,PURPLE PAPER PARASOL,28,1.2999,1.5976,2.2748
sku,machine_learning,xgboost,15044C,PURPLE PAPER PARASOL,28,1.6088,1.8315,2.8154
sku,deep_learning,gru,15044D,RED PAPER PARASOL,28,1.0761,1.9382,1.2555
sku,machine_learning,lightgbm,15044D,RED PAPER PARASOL,28,7.4469,9.1234,8.6880
sku,deep_learning,lstm,15044D,RED PAPER PARASOL,28,1.0484,1.9493,1.2232
sku,statistical,moving_average_7,15044D,RED PAPER PARASOL,28,1.4388,2.0468,1.6786
sku,statistical,naive_lag_1,15044D,RED PAPER PARASOL,28,1.5714,2.7516,1.8333
sku,statistical,seasonal_naive_lag_7,15044D,RED PAPER PARASOL,28,1.5000,2.6186,1.7500
sku,statistical,weekday_seasonal_mean,15044D,RED PAPER PARASOL,28,2.1249,2.5132,2.4790
sku,machine_learning,xgboost,15044D,RED PAPER PARASOL,28,1.9267,2.2169,2.2479
sku,deep_learning,gru,15056BL,EDWARDIAN PARASOL BLACK,28,6.1901,11.8921,0.9523
sku,machine_learning,lightgbm,15056BL,EDWARDIAN PARASOL BLACK,28,12.4217,14.4858,1.9110
sku,deep_learning,lstm,15056BL,EDWARDIAN PARASOL BLACK,28,6.1355,12.1186,0.9439
sku,statistical,moving_average_7,15056BL,EDWARDIAN PARASOL BLACK,28,7.2347,11.8458,1.1130
sku,statistical,naive_lag_1,15056BL,EDWARDIAN PARASOL BLACK,28,7.4286,12.7026,1.1429
sku,statistical,seasonal_naive_lag_7,15056BL,EDWARDIAN PARASOL BLACK,28,7.8571,15.3157,1.2088
sku,statistical,weekday_seasonal_mean,15056BL,EDWARDIAN PARASOL BLACK,28,10.7733,12.8815,1.6574
sku,machine_learning,xgboost,15056BL,EDWARDIAN PARASOL BLACK,28,10.5315,12.9845,1.6202
sku,deep_learning,gru,15056N,EDWARDIAN PARASOL NATURAL,28,7.4290,15.4804,0.9812
sku,machine_learning,lightgbm,15056N,EDWARDIAN PARASOL NATURAL,28,12.1575,15.9434,1.6057
sku,deep_learning,lstm,15056N,EDWARDIAN PARASOL NATURAL,28,7.3620,15.5973,0.9723
sku,statistical,moving_average_7,15056N,EDWARDIAN PARASOL NATURAL,28,10.1888,15.7869,1.3457
sku,statistical,naive_lag_1,15056N,EDWARDIAN PARASOL NATURAL,28,10.1071,19.9293,1.3349
sku,statistical,seasonal_naive_lag_7,15056N,EDWARDIAN PARASOL NATURAL,28,10.7500,19.6478,1.4198
sku,statistical,weekday_seasonal_mean,15056N,EDWARDIAN PARASOL NATURAL,28,12.6052,15.7475,1.6648
sku,machine_learning,xgboost,15056N,EDWARDIAN PARASOL NATURAL,28,11.2183,14.8317,1.4817
sku,deep_learning,gru,15056P,EDWARDIAN PARASOL PINK,28,3.4360,9.6141,1.0810
sku,machine_learning,lightgbm,15056P,EDWARDIAN PARASOL PINK,28,6.1218,9.8854,1.9260
sku,deep_learning,lstm,15056P,EDWARDIAN PARASOL PINK,28,3.4225,9.6184,1.0768
sku,statistical,moving_average_7,15056P,EDWARDIAN PARASOL PINK,28,4.8469,10.0592,1.5249
sku,statistical,naive_lag_1,15056P,EDWARDIAN PARASOL PINK,28,6.1071,13.6159,1.9213
sku,statistical,seasonal_naive_lag_7,15056P,EDWARDIAN PARASOL PINK,28,5.7143,13.6172,1.7978
sku,statistical,weekday_seasonal_mean,15056P,EDWARDIAN PARASOL PINK,28,4.1248,9.1271,1.2977
sku,machine_learning,xgboost,15056P,EDWARDIAN PARASOL PINK,28,7.1005,12.6528,2.2339
sku,deep_learning,gru,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1795,0.3800,2.5126
sku,machine_learning,lightgbm,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.4882,0.5806,6.8346
sku,deep_learning,lstm,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1623,0.3769,2.2727
sku,statistical,moving_average_7,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.4041,2.0000
sku,statistical,naive_lag_1,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.5345,2.0000
sku,statistical,seasonal_naive_lag_7,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.1429,0.5345,2.0000
sku,statistical,weekday_seasonal_mean,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.7014,0.7712,9.8202
sku,machine_learning,xgboost,15058A,BLUE POLKADOT GARDEN PARASOL,28,0.6723,0.7332,9.4124
sku,deep_learning,gru,15058B,PINK POLKADOT GARDEN PARASOL,28,0.1345,0.2021,3.7648
sku,machine_learning,lightgbm,15058B,PINK POLKADOT GARDEN PARASOL,28,0.4330,0.4684,12.1232
sku,deep_learning,lstm,15058B,PINK POLKADOT GARDEN PARASOL,28,0.1191,0.1961,3.3360
sku,statistical,moving_average_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2020,2.0003
sku,statistical,naive_lag_1,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,statistical,seasonal_naive_lag_7,15058B,PINK POLKADOT GARDEN PARASOL,28,0.0714,0.2673,2.0000
sku,statistical,weekday_seasonal_mean,15058B,PINK POLKADOT GARDEN PARASOL,28,0.5958,0.6582,16.6826
sku,machine_learning,xgboost,15058B,PINK POLKADOT GARDEN PARASOL,28,0.6134,0.6408,17.1755
sku,deep_learning,gru,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1671,0.2652,2.3392
sku,machine_learning,lightgbm,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.4783,0.5090,6.6967
sku,deep_learning,lstm,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1511,0.2621,2.1159
sku,statistical,moving_average_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1072,0.2766,1.5002
sku,statistical,naive_lag_1,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,statistical,seasonal_naive_lag_7,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.1071,0.3273,1.5000
sku,statistical,weekday_seasonal_mean,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.6010,0.7431,8.4147
sku,machine_learning,xgboost,15058C,ICE CREAM DESIGN GARDEN PARASOL,28,0.6342,0.6656,8.8786
